Country,category_id,avg_views
Gb,10,12444443.0
Gb,29,3919981.0
Gb,24,3264608.0
Gb,1,3245133.0
Gb,28,3168703.0
Gb,23,2167430.0
Gb,22,1966606.0
Gb,17,1752352.0
Gb,2,1487392.0
Gb,43,1429164.0
Gb,19,1383177.0
Gb,25,1150311.0
Gb,15,1013709.0
Gb,20,976857.0
Gb,27,972189.0
Gb,26,617300.0
IN,20,4162462.0
IN,30,3065001.0
IN,10,2631116.0
IN,1,2320356.0
IN,17,1887755.0
IN,15,1626581.0
IN,24,964600.0
IN,26,872596.0
IN,28,864332.0
IN,23,842132.0
IN,43,680887.0
IN,22,519857.0
IN,2,422010.0
IN,25,380512.0
IN,19,171793.0
IN,27,118609.0
IN,29,63001.0
US,10,6201003.0
US,1,3106250.0
US,29,2963884.0
US,20,2620831.0
US,24,2067883.0
US,17,2025969.0
US,22,1531835.0
US,23,1480308.0
US,28,1452627.0
US,2,1355965.0
US,26,983730.0
US,43,903527.0
US,19,854620.0
US,15,831143.0
US,27,712941.0
US,25,592588.0
